,name,commercial_area_code,pop_type,total_pop
0,명동 남대문 북창동 다동 무교동 관광특구,3001492,WORKING,843479.0
1,여의도역(여의도),3120149,WORKING,539674.0
2,잠실 관광특구,3001495,WORKING,472273.0
3,삼성역,3120222,WORKING,443645.0
4,강남 마이스 관광특구,3001496,WORKING,442640.0
5,가산디지털단지,3120131,WORKING,387730.0
6,매봉역,3120205,WORKING,366286.0
7,잠실역,3120227,WORKING,350518.0
8,포스코사거리,3120215,WORKING,310141.0
9,강남역,3120189,WORKING,299021.0
10,국회의사당역(국회의사당),3120148,WORKING,283628.0
11,역삼역,3120197,WORKING,281871.0
12,코엑스,3120218,WORKING,238450.0
13,선릉역,3120210,WORKING,228400.0
14,종각역,3120006,WORKING,223942.0
15,구로디지털단지,3120129,WORKING,212942.0
16,종로·청계 관광특구,3001494,WORKING,188404.0
17,을지로입구역,3120026,WORKING,182890.0
18,뱅뱅사거리,3120192,WORKING,167654.0
19,문정역,3120235,WORKING,162337.0
20,광화문역,3120003,WORKING,158674.0
21,명동(명동거리),3120028,WORKING,150560.0
22,동대문패션타운 관광특구,3001493,WORKING,134176.0
23,교대역(법원.검찰청),3120173,WORKING,127023.0
24,서울역,3120043,WORKING,123573.0
25,남대문시장(자유상가),3130024,WORKING,121962.0
26,신용산역(용산역),3120041,WORKING,121505.0
27,고속터미널(고속터미널역),3120167,WORKING,121337.0
28,이태원 관광특구,3001491,WORKING,121011.0
29,봉은사역,3120221,WORKING,114990.0
30,문래동주민센터,3120140,WORKING,114789.0
31,르네상스호텔사거리,3120204,WORKING,111063.0
32,롯데백화점(시청광장 지하쇼핑센터),3120025,WORKING,103838.0
33,양재역,3120179,WORKING,103509.0
34,문래예술촌(문래창작촌),3110759,WORKING,95891.0
35,동대문역사문화공원역,3120037,WORKING,91027.0
36,목동신시가지,3120114,WORKING,90862.0
37,남부터미널역,3120175,WORKING,89207.0
38,신논현역,3120187,WORKING,88954.0
39,사당역(사당),3120160,WORKING,87732.0
40,종로3가역,3120009,WORKING,87280.0
41,북창동(시청역_6번),3120022,WORKING,86942.0
42,시청역_8번,3120021,WORKING,83929.0
