,commercial_area_name,pop_type,total_population,total_sales
0,노량진역(노량진),RESIDENT,12828.0,4377254155412
1,노량진역(노량진),WORKING,18927.0,4377254155412
2,가산디지털단지,RESIDENT,22132.0,3004121701306
3,가산디지털단지,WORKING,387730.0,3004121701306
4,용산전자상가(용산역),RESIDENT,6020.0,2481580235065
5,용산전자상가(용산역),WORKING,48793.0,2481580235065
6,명동 남대문 북창동 다동 무교동 관광특구,RESIDENT,3808.0,1870694024447
7,명동 남대문 북창동 다동 무교동 관광특구,WORKING,843479.0,1870694024447
8,가락시장,WORKING,20050.0,1726507007884
9,강남역,RESIDENT,24992.0,1672942354635
10,강남역,WORKING,299021.0,1672942354635
11,잠실 관광특구,RESIDENT,44576.0,1441904433132
12,잠실 관광특구,WORKING,472273.0,1441904433132
13,종로3가역,RESIDENT,13020.0,1293889371602
14,종로3가역,WORKING,87280.0,1293889371602
15,잠실역,RESIDENT,21628.0,1280755861216
16,잠실역,WORKING,350518.0,1280755861216
17,종로·청계 관광특구,RESIDENT,7068.0,1001960255501
18,종로·청계 관광특구,WORKING,188404.0,1001960255501
19,여의도역(여의도),RESIDENT,11372.0,790517430873
20,여의도역(여의도),WORKING,539674.0,790517430873
21,청량리종합시장,RESIDENT,428.0,713019870967
22,청량리종합시장,WORKING,1225.0,713019870967
23,청량리청과물시장,RESIDENT,224.0,684099564894
24,청량리청과물시장,WORKING,1413.0,684099564894
25,독산동 우시장,RESIDENT,7016.0,660748064293
26,독산동 우시장,WORKING,2881.0,660748064293
27,홍대입구역(홍대),RESIDENT,18184.0,635867960874
28,홍대입구역(홍대),WORKING,29163.0,635867960874
29,영등포역(영등포),RESIDENT,23740.0,628846214929
30,영등포역(영등포),WORKING,19306.0,628846214929
31,잠실새내역(신천),RESIDENT,16692.0,617479519369
32,잠실새내역(신천),WORKING,44851.0,617479519369
33,역삼역,RESIDENT,23056.0,606872593210
34,역삼역,WORKING,281871.0,606872593210
35,압구정역,RESIDENT,6092.0,596588411879
36,압구정역,WORKING,53217.0,596588411879
37,구로역,RESIDENT,7348.0,589433150772
38,구로역,WORKING,53774.0,589433150772
39,신사역,RESIDENT,13000.0,562581993516
40,신사역,WORKING,69040.0,562581993516
41,삼성역,RESIDENT,2560.0,562255011391
42,삼성역,WORKING,443645.0,562255011391
43,노원역,RESIDENT,4892.0,552080702302
44,노원역,WORKING,28773.0,552080702302
45,은마아파트,RESIDENT,4524.0,547435051704
46,은마아파트,WORKING,37190.0,547435051704
47,신논현역,RESIDENT,20532.0,531162610107
48,신논현역,WORKING,88954.0,531162610107
49,영등포청과시장(조광시장),RESIDENT,7508.0,531157516242
50,영등포청과시장(조광시장),WORKING,1867.0,531157516242
51,선릉역,RESIDENT,18872.0,530157780561
52,선릉역,WORKING,228400.0,530157780561
53,강남 마이스 관광특구,RESIDENT,136.0,519818877858
54,강남 마이스 관광특구,WORKING,442640.0,519818877858
55,압구정로데오역(압구정로데오),RESIDENT,6616.0,513069784845
56,압구정로데오역(압구정로데오),WORKING,53229.0,513069784845
57,남대문시장(자유상가),RESIDENT,164.0,496547877432
58,남대문시장(자유상가),WORKING,121962.0,496547877432
59,학동사거리,RESIDENT,3508.0,490036237546
60,학동사거리,WORKING,64039.0,490036237546
61,청담사거리(청담동명품거리),RESIDENT,10952.0,484493835125
62,청담사거리(청담동명품거리),WORKING,70092.0,484493835125
63,동대문패션타운 관광특구,RESIDENT,11148.0,483053959178
64,동대문패션타운 관광특구,WORKING,134176.0,483053959178
65,교대역(법원.검찰청),RESIDENT,21024.0,470166070654
66,교대역(법원.검찰청),WORKING,127023.0,470166070654
67,명동(명동거리),RESIDENT,448.0,454267009205
68,명동(명동거리),WORKING,150560.0,454267009205
69,수유역,RESIDENT,23836.0,454129196992
70,수유역,WORKING,13109.0,454129196992
71,종각역,RESIDENT,1720.0,436469892783
72,종각역,WORKING,223942.0,436469892783
73,동서시장,RESIDENT,8.0,434322864236
74,동서시장,WORKING,25.0,434322864236
75,강서농산물도매시장,RESIDENT,104.0,419088481257
76,강서농산물도매시장,WORKING,3325.0,419088481257
77,"신촌역(신촌역, 신촌로터리)",RESIDENT,16108.0,407157348485
78,"신촌역(신촌역, 신촌로터리)",WORKING,10837.0,407157348485
79,논현역,RESIDENT,13464.0,397828527728
80,논현역,WORKING,58125.0,397828527728
81,구로디지털단지,RESIDENT,6072.0,393729501967
82,구로디지털단지,WORKING,212942.0,393729501967
83,동대문역사문화공원역,RESIDENT,6652.0,388893602714
84,동대문역사문화공원역,WORKING,91027.0,388893602714
85,포스코사거리,RESIDENT,14276.0,381250077413
86,포스코사거리,WORKING,310141.0,381250077413
87,을지로3가역,RESIDENT,7328.0,377617812551
88,을지로3가역,WORKING,55015.0,377617812551
89,가로수길,RESIDENT,10740.0,375796940265
90,가로수길,WORKING,42087.0,375796940265
91,이태원 관광특구,RESIDENT,15696.0,368649544824
92,이태원 관광특구,WORKING,121011.0,368649544824
93,경동시장,RESIDENT,24.0,357739020871
94,경동시장,WORKING,1950.0,357739020871
95,건대입구역(건대),RESIDENT,16008.0,351973926330
96,건대입구역(건대),WORKING,5694.0,351973926330
97,이태원(이태원역),RESIDENT,9960.0,338837537634
98,이태원(이태원역),WORKING,76623.0,338837537634
99,천호역,RESIDENT,15224.0,327929420223
100,천호역,WORKING,7353.0,327929420223
101,대림3동사거리,RESIDENT,8644.0,312621142790
102,대림3동사거리,WORKING,9832.0,312621142790
103,국회의사당역(국회의사당),RESIDENT,9800.0,307334629360
104,국회의사당역(국회의사당),WORKING,283628.0,307334629360
105,고덕역,RESIDENT,7000.0,307055858010
106,고덕역,WORKING,6406.0,307055858010
107,서울대입구역,RESIDENT,39584.0,305301948038
108,서울대입구역,WORKING,20272.0,305301948038
109,성수대교남단,RESIDENT,1572.0,304271312281
110,성수대교남단,WORKING,36674.0,304271312281
111,"총신대입구역(이수, 총신대)",RESIDENT,17236.0,303663585752
112,"총신대입구역(이수, 총신대)",WORKING,32003.0,303663585752
113,포이사거리(삼호물산),RESIDENT,22196.0,302506704879
114,포이사거리(삼호물산),WORKING,80236.0,302506704879
115,장한평역(장한평),RESIDENT,22172.0,300390949317
116,장한평역(장한평),WORKING,31415.0,300390949317
117,양재역,RESIDENT,21752.0,298481738163
118,양재역,WORKING,103509.0,298481738163
119,연남동(홍대),RESIDENT,26408.0,289763547107
120,연남동(홍대),WORKING,22088.0,289763547107
121,뱅뱅사거리,RESIDENT,29196.0,282526878992
122,뱅뱅사거리,WORKING,167654.0,282526878992
123,광화문역,RESIDENT,11900.0,281560404494
124,광화문역,WORKING,158674.0,281560404494
125,고속터미널(고속터미널역),RESIDENT,1164.0,281013388847
126,고속터미널(고속터미널역),WORKING,121337.0,281013388847
127,경동광성상가(경동시장),RESIDENT,240.0,279302556400
128,경동광성상가(경동시장),WORKING,1257.0,279302556400
129,장안동사거리,RESIDENT,26532.0,268950714359
130,장안동사거리,WORKING,11930.0,268950714359
131,목동신시가지,RESIDENT,41960.0,267574911189
132,목동신시가지,WORKING,90862.0,267574911189
133,장지역(가든파이브),RESIDENT,628.0,266952235528
134,장지역(가든파이브),WORKING,30621.0,266952235528
135,청량리농수산물시장,RESIDENT,1528.0,266769961119
136,청량리농수산물시장,WORKING,1390.0,266769961119
137,방이동먹자골목,RESIDENT,11244.0,263839681862
138,방이동먹자골목,WORKING,70876.0,263839681862
139,성수역,RESIDENT,3744.0,258037952893
140,성수역,WORKING,58490.0,258037952893
141,대치역,RESIDENT,4868.0,257649719370
142,대치역,WORKING,40880.0,257649719370
143,종로5가역,RESIDENT,3924.0,257499586434
144,종로5가역,WORKING,22137.0,257499586434
145,강변역(테크노마트),RESIDENT,20.0,254973383144
146,강변역(테크노마트),WORKING,14622.0,254973383144
147,발산역(마곡),RESIDENT,11616.0,253576573667
148,발산역(마곡),WORKING,24286.0,253576573667
149,문래예술촌(문래창작촌),RESIDENT,4396.0,248033465148
150,문래예술촌(문래창작촌),WORKING,95891.0,248033465148
151,신림역(신림),RESIDENT,37276.0,245863404038
152,신림역(신림),WORKING,5771.0,245863404038
153,북창동(시청역_6번),RESIDENT,772.0,245554339132
154,북창동(시청역_6번),WORKING,86942.0,245554339132
155,서울역,RESIDENT,2324.0,243824286335
156,서울역,WORKING,123573.0,243824286335
157,군자역,RESIDENT,26024.0,239217636616
158,군자역,WORKING,12043.0,239217636616
159,사당역(사당),RESIDENT,15848.0,238937775207
160,사당역(사당),WORKING,87732.0,238937775207
161,대학로(혜화역),RESIDENT,7464.0,238404123674
162,대학로(혜화역),WORKING,10347.0,238404123674
163,강남구청역,RESIDENT,5212.0,236600389901
164,강남구청역,WORKING,67654.0,236600389901
165,방배역,RESIDENT,10808.0,235069899584
166,방배역,WORKING,41380.0,235069899584
167,한티역,RESIDENT,5180.0,232308961341
168,한티역,WORKING,31465.0,232308961341
169,강남을지병원,RESIDENT,8076.0,230021900796
170,강남을지병원,WORKING,58518.0,230021900796
171,성신여대,RESIDENT,12828.0,224957866960
172,성신여대,WORKING,8795.0,224957866960
173,문정역,RESIDENT,16212.0,223192867743
174,문정역,WORKING,162337.0,223192867743
175,중부시장(신중부시장),RESIDENT,2584.0,218598443792
176,중부시장(신중부시장),WORKING,13115.0,218598443792
177,길동역,RESIDENT,25760.0,218585249406
178,길동역,WORKING,16118.0,218585249406
179,구로디지털단지역,RESIDENT,9344.0,215650699247
180,구로디지털단지역,WORKING,10083.0,215650699247
181,도산공원교차로,RESIDENT,4160.0,210429195516
182,도산공원교차로,WORKING,38470.0,210429195516
183,수서역,RESIDENT,2068.0,204733270794
184,수서역,WORKING,67097.0,204733270794
185,학동역,RESIDENT,16392.0,204136731043
186,학동역,WORKING,69491.0,204136731043
187,오목교역,RESIDENT,12652.0,203570766458
188,오목교역,WORKING,22099.0,203570766458
189,등나무근린공원,RESIDENT,5892.0,202896461589
190,등나무근린공원,WORKING,3817.0,202896461589
191,합정역,RESIDENT,21392.0,201409934523
192,합정역,WORKING,17355.0,201409934523
193,"강남구청(청담역_8번, 강남세무서)",RESIDENT,4924.0,200280303427
194,"강남구청(청담역_8번, 강남세무서)",WORKING,32436.0,200280303427
195,청량리역(청량리),RESIDENT,9096.0,198779668369
196,청량리역(청량리),WORKING,5058.0,198779668369
197,서울약령시장,RESIDENT,6928.0,197627168727
198,서울약령시장,WORKING,12626.0,197627168727
199,성수동카페거리,RESIDENT,8764.0,195116830293
200,성수동카페거리,WORKING,18662.0,195116830293
201,대치사거리,RESIDENT,13420.0,192236621899
202,대치사거리,WORKING,22110.0,192236621899
203,충무로역,RESIDENT,9380.0,185801891343
204,충무로역,WORKING,45898.0,185801891343
205,삼호가든사거리,RESIDENT,2484.0,184917043652
206,삼호가든사거리,WORKING,66579.0,184917043652
207,영등포역지하도상점가,RESIDENT,160.0,184505989118
208,영등포역지하도상점가,WORKING,5451.0,184505989118
209,을지로입구역,RESIDENT,280.0,182097076854
210,을지로입구역,WORKING,182890.0,182097076854
211,신정네거리역,RESIDENT,13440.0,180212453064
212,신정네거리역,WORKING,12942.0,180212453064
213,서초역,RESIDENT,9080.0,179126545750
214,서초역,WORKING,68983.0,179126545750
215,DMC(디지털미디어시티),RESIDENT,4708.0,179080346792
216,DMC(디지털미디어시티),WORKING,53145.0,179080346792
217,명일역,RESIDENT,8596.0,178721069925
218,명일역,WORKING,8852.0,178721069925
219,신용산역(용산역),RESIDENT,29540.0,178560451077
220,신용산역(용산역),WORKING,121505.0,178560451077
221,서초3동사거리,RESIDENT,13084.0,177832422657
222,서초3동사거리,WORKING,44152.0,177832422657
223,미아사거리역,RESIDENT,1740.0,176449499372
224,미아사거리역,WORKING,2079.0,176449499372
225,방산종합시장(방산시장),RESIDENT,1368.0,174392281450
226,방산종합시장(방산시장),WORKING,9584.0,174392281450
227,둔촌역,RESIDENT,9592.0,174025440825
228,둔촌역,WORKING,11326.0,174025440825
229,서울시청,RESIDENT,48.0,173837097679
230,서울시청,WORKING,65192.0,173837097679
231,영일시장,RESIDENT,472.0,164084221052
232,영일시장,WORKING,19653.0,164084221052
233,내방역,RESIDENT,10904.0,163162566602
234,내방역,WORKING,50261.0,163162566602
235,가락시장역,RESIDENT,9980.0,163009969723
236,가락시장역,WORKING,38038.0,163009969723
237,목동역 8번출구,RESIDENT,8088.0,162946469201
238,목동역 8번출구,WORKING,9706.0,162946469201
239,남정초등학교,RESIDENT,884.0,162751183770
240,남정초등학교,WORKING,740.0,162751183770
241,신설동역,RESIDENT,14952.0,161755160257
242,신설동역,WORKING,23628.0,161755160257
243,연신내역,RESIDENT,12376.0,159353521784
244,연신내역,WORKING,6826.0,159353521784
245,창동역,RESIDENT,2196.0,156866537997
246,창동역,WORKING,11662.0,156866537997
247,은행사거리,RESIDENT,772.0,155438777388
248,은행사거리,WORKING,6596.0,155438777388
249,구의역,RESIDENT,17268.0,154765606884
250,구의역,WORKING,21592.0,154765606884
251,휘문고교사거리,RESIDENT,1024.0,153463259891
252,휘문고교사거리,WORKING,50479.0,153463259891
253,언주역(차병원),RESIDENT,10372.0,150217367424
254,언주역(차병원),WORKING,49388.0,150217367424
255,약수역,RESIDENT,7304.0,149763519676
256,약수역,WORKING,33673.0,149763519676
257,을지로4가역,RESIDENT,240.0,149505180883
258,을지로4가역,WORKING,14660.0,149505180883
259,연신내상점가(연빛거리),RESIDENT,5760.0,148376100115
260,연신내상점가(연빛거리),WORKING,5086.0,148376100115
261,석촌역(석촌호수),RESIDENT,16448.0,148207930346
262,석촌역(석촌호수),WORKING,34141.0,148207930346
263,장안1동주민센터,RESIDENT,41580.0,148066028418
264,장안1동주민센터,WORKING,10060.0,148066028418
265,북촌(안국역),RESIDENT,5052.0,146281454427
266,북촌(안국역),WORKING,42961.0,146281454427
267,명동역(명동재미로),RESIDENT,3988.0,144649432141
268,명동역(명동재미로),WORKING,57841.0,144649432141
