,Unnamed: 0,commercial_area_name,pop_type,total_population
0,0.0,노량진역(노량진),RESIDENT,12828.0
1,1.0,노량진역(노량진),WORKING,18927.0
2,2.0,가산디지털단지,RESIDENT,22132.0
3,3.0,가산디지털단지,WORKING,387730.0
4,4.0,용산전자상가(용산역),RESIDENT,6020.0
5,5.0,용산전자상가(용산역),WORKING,48793.0
6,6.0,명동 남대문 북창동 다동 무교동 관광특구,RESIDENT,3808.0
7,7.0,명동 남대문 북창동 다동 무교동 관광특구,WORKING,843479.0
8,8.0,가락시장,WORKING,20050.0
9,9.0,강남역,RESIDENT,24992.0
10,10.0,강남역,WORKING,299021.0
11,11.0,잠실 관광특구,RESIDENT,44576.0
12,12.0,잠실 관광특구,WORKING,472273.0
13,13.0,종로3가역,RESIDENT,13020.0
14,14.0,종로3가역,WORKING,87280.0
15,15.0,잠실역,RESIDENT,21628.0
16,16.0,잠실역,WORKING,350518.0
17,17.0,종로·청계 관광특구,RESIDENT,7068.0
18,18.0,종로·청계 관광특구,WORKING,188404.0
19,19.0,여의도역(여의도),RESIDENT,11372.0
20,20.0,여의도역(여의도),WORKING,539674.0
21,21.0,청량리종합시장,RESIDENT,428.0
22,22.0,청량리종합시장,WORKING,1225.0
23,23.0,청량리청과물시장,RESIDENT,224.0
24,24.0,청량리청과물시장,WORKING,1413.0
25,25.0,독산동 우시장,RESIDENT,7016.0
26,26.0,독산동 우시장,WORKING,2881.0
27,27.0,홍대입구역(홍대),RESIDENT,18184.0
28,28.0,홍대입구역(홍대),WORKING,29163.0
29,29.0,영등포역(영등포),RESIDENT,23740.0
30,30.0,영등포역(영등포),WORKING,19306.0
31,31.0,잠실새내역(신천),RESIDENT,16692.0
32,32.0,잠실새내역(신천),WORKING,44851.0
33,33.0,역삼역,RESIDENT,23056.0
34,34.0,역삼역,WORKING,281871.0
35,35.0,압구정역,RESIDENT,6092.0
36,36.0,압구정역,WORKING,53217.0
37,37.0,구로역,RESIDENT,7348.0
38,38.0,구로역,WORKING,53774.0
39,39.0,신사역,RESIDENT,13000.0
40,40.0,신사역,WORKING,69040.0
41,41.0,삼성역,RESIDENT,2560.0
42,42.0,삼성역,WORKING,443645.0
43,43.0,노원역,RESIDENT,4892.0
44,44.0,노원역,WORKING,28773.0
45,45.0,은마아파트,RESIDENT,4524.0
46,46.0,은마아파트,WORKING,37190.0
47,47.0,신논현역,RESIDENT,20532.0
48,48.0,신논현역,WORKING,88954.0
49,49.0,영등포청과시장(조광시장),RESIDENT,7508.0
50,50.0,영등포청과시장(조광시장),WORKING,1867.0
51,51.0,선릉역,RESIDENT,18872.0
52,52.0,선릉역,WORKING,228400.0
53,53.0,강남 마이스 관광특구,RESIDENT,136.0
54,54.0,강남 마이스 관광특구,WORKING,442640.0
55,55.0,압구정로데오역(압구정로데오),RESIDENT,6616.0
56,56.0,압구정로데오역(압구정로데오),WORKING,53229.0
57,57.0,남대문시장(자유상가),RESIDENT,164.0
58,58.0,남대문시장(자유상가),WORKING,121962.0
59,59.0,학동사거리,RESIDENT,3508.0
60,60.0,학동사거리,WORKING,64039.0
61,61.0,청담사거리(청담동명품거리),RESIDENT,10952.0
62,62.0,청담사거리(청담동명품거리),WORKING,70092.0
63,63.0,동대문패션타운 관광특구,RESIDENT,11148.0
64,64.0,동대문패션타운 관광특구,WORKING,134176.0
65,65.0,교대역(법원.검찰청),RESIDENT,21024.0
66,66.0,교대역(법원.검찰청),WORKING,127023.0
67,67.0,명동(명동거리),RESIDENT,448.0
68,68.0,명동(명동거리),WORKING,150560.0
69,69.0,수유역,RESIDENT,23836.0
70,70.0,수유역,WORKING,13109.0
71,71.0,종각역,RESIDENT,1720.0
72,72.0,종각역,WORKING,223942.0
73,73.0,동서시장,RESIDENT,8.0
74,74.0,동서시장,WORKING,25.0
75,75.0,강서농산물도매시장,RESIDENT,104.0
76,76.0,강서농산물도매시장,WORKING,3325.0
77,77.0,"신촌역(신촌역, 신촌로터리)",RESIDENT,16108.0
78,78.0,"신촌역(신촌역, 신촌로터리)",WORKING,10837.0
79,79.0,논현역,RESIDENT,13464.0
80,80.0,논현역,WORKING,58125.0
81,81.0,구로디지털단지,RESIDENT,6072.0
82,82.0,구로디지털단지,WORKING,212942.0
83,83.0,동대문역사문화공원역,RESIDENT,6652.0
84,84.0,동대문역사문화공원역,WORKING,91027.0
85,85.0,포스코사거리,RESIDENT,14276.0
86,86.0,포스코사거리,WORKING,310141.0
87,87.0,을지로3가역,RESIDENT,7328.0
88,88.0,을지로3가역,WORKING,55015.0
89,89.0,가로수길,RESIDENT,10740.0
90,90.0,가로수길,WORKING,42087.0
91,91.0,이태원 관광특구,RESIDENT,15696.0
92,92.0,이태원 관광특구,WORKING,121011.0
93,93.0,경동시장,RESIDENT,24.0
94,94.0,경동시장,WORKING,1950.0
95,95.0,건대입구역(건대),RESIDENT,16008.0
96,96.0,건대입구역(건대),WORKING,5694.0
97,97.0,이태원(이태원역),RESIDENT,9960.0
98,98.0,이태원(이태원역),WORKING,76623.0
99,99.0,천호역,RESIDENT,15224.0
100,100.0,천호역,WORKING,7353.0
101,101.0,대림3동사거리,RESIDENT,8644.0
102,102.0,대림3동사거리,WORKING,9832.0
103,103.0,국회의사당역(국회의사당),RESIDENT,9800.0
104,104.0,국회의사당역(국회의사당),WORKING,283628.0
105,105.0,고덕역,RESIDENT,7000.0
106,106.0,고덕역,WORKING,6406.0
107,107.0,서울대입구역,RESIDENT,39584.0
108,108.0,서울대입구역,WORKING,20272.0
109,109.0,성수대교남단,RESIDENT,1572.0
110,110.0,성수대교남단,WORKING,36674.0
111,111.0,"총신대입구역(이수, 총신대)",RESIDENT,17236.0
112,112.0,"총신대입구역(이수, 총신대)",WORKING,32003.0
113,113.0,포이사거리(삼호물산),RESIDENT,22196.0
114,114.0,포이사거리(삼호물산),WORKING,80236.0
115,115.0,장한평역(장한평),RESIDENT,22172.0
116,116.0,장한평역(장한평),WORKING,31415.0
117,117.0,양재역,RESIDENT,21752.0
118,118.0,양재역,WORKING,103509.0
119,119.0,연남동(홍대),RESIDENT,26408.0
120,120.0,연남동(홍대),WORKING,22088.0
121,121.0,뱅뱅사거리,RESIDENT,29196.0
122,122.0,뱅뱅사거리,WORKING,167654.0
123,123.0,광화문역,RESIDENT,11900.0
124,124.0,광화문역,WORKING,158674.0
125,125.0,고속터미널(고속터미널역),RESIDENT,1164.0
126,126.0,고속터미널(고속터미널역),WORKING,121337.0
127,127.0,경동광성상가(경동시장),RESIDENT,240.0
128,128.0,경동광성상가(경동시장),WORKING,1257.0
129,129.0,장안동사거리,RESIDENT,26532.0
130,130.0,장안동사거리,WORKING,11930.0
131,131.0,목동신시가지,RESIDENT,41960.0
132,132.0,목동신시가지,WORKING,90862.0
133,133.0,장지역(가든파이브),RESIDENT,628.0
134,134.0,장지역(가든파이브),WORKING,30621.0
135,135.0,청량리농수산물시장,RESIDENT,1528.0
136,136.0,청량리농수산물시장,WORKING,1390.0
137,137.0,방이동먹자골목,RESIDENT,11244.0
138,138.0,방이동먹자골목,WORKING,70876.0
139,139.0,성수역,RESIDENT,3744.0
140,140.0,성수역,WORKING,58490.0
141,141.0,대치역,RESIDENT,4868.0
142,142.0,대치역,WORKING,40880.0
143,143.0,종로5가역,RESIDENT,3924.0
144,144.0,종로5가역,WORKING,22137.0
145,145.0,강변역(테크노마트),RESIDENT,20.0
146,146.0,강변역(테크노마트),WORKING,14622.0
