,commercial_area_name,commercial_area_code,time,floating_population,total_sales,total_customers
0,이태원 관광특구,3001491,00-06,1895592.0,54586098370,2507710.0
1,명동 남대문 북창동 다동 무교동 관광특구,3001492,00-06,1525029.0,39807364910,566321.0
2,동대문패션타운 관광특구,3001493,00-06,2522709.0,22570120393,1155247.0
3,종로·청계 관광특구,3001494,00-06,3579057.0,20702533011,630591.0
4,잠실 관광특구,3001495,00-06,2913751.0,41330500024,1208067.0
5,강남 마이스 관광특구,3001496,00-06,24221.0,648381508,39111.0
6,이북5도청사,3110001,00-06,172144.0,38628894,619.0
7,독립문역 1번,3110002,00-06,449944.0,27846233,465.0
8,세검정초등학교,3110003,00-06,435918.0,196532663,1924.0
9,대신고등학교,3110004,00-06,630840.0,2632163,14.0
10,세검정,3110005,00-06,122882.0,68939249,632.0
11,부암동주민센터,3110006,00-06,6650.0,242532,16.0
12,사직공원(한국사회과학도서관),3110007,00-06,1186006.0,0,0.0
13,배화여자대학교(박노수미술관),3110008,00-06,1267398.0,37327461,790.0
14,자하문터널,3110009,00-06,187672.0,34499803,386.0
15,평창동서측,3110010,00-06,201256.0,36556784,191.0
16,성곡미술관,3110012,00-06,436117.0,76727451,5515.0
17,체부동홍종문가옥,3110013,00-06,108967.0,0,0.0
18,경복고등학교,3110014,00-06,26148.0,0,0.0
19,청와대사랑채,3110015,00-06,26333.0,8876489,13.0
20,평창동동측,3110016,00-06,20773.0,22140397,384.0
21,정독도서관,3110017,00-06,325345.0,0,0.0
22,중앙고등학교,3110018,00-06,368538.0,739450,7.0
23,창덕궁,3110019,00-06,246211.0,190351298,331.0
24,서울국제고등학교,3110020,00-06,2283744.0,449342748,57864.0
25,성균관대학교,3110021,00-06,1305046.0,667791031,40781.0
26,경신고등학교,3110022,00-06,559112.0,17775188,121.0
27,서울대병원,3110023,00-06,404952.0,12870701,1615.0
28,혜회동주민센터,3110024,00-06,231599.0,3397882,34.0
29,충신시장옆,3110025,00-06,362571.0,212334188,5153.0
30,종로5가역 4번,3110026,00-06,180258.0,0,0.0
31,혜화역 1번,3110027,00-06,263499.0,8455139,175.0
32,이화달팽이길,3110028,00-06,2372164.0,1093290754,131702.0
33,동대문역 1번,3110029,00-06,3159706.0,711021588,49759.0
34,동대문역 3번,3110030,00-06,124635.0,97764162,1146.0
35,창신역 1번,3110031,00-06,49718.0,0,0.0
36,수족관거리,3110032,00-06,116284.0,12719604,471.0
37,창신역 4번,3110033,00-06,683506.0,14859360,281.0
38,창신1동주민센터,3110034,00-06,301060.0,0,0.0
39,동묘앞역 2번,3110035,00-06,1518529.0,307733769,7222.0
40,동묘앞역 3번,3110036,00-06,302700.0,19644598,474.0
41,신설동역 12번,3110037,00-06,972755.0,297080944,17743.0
42,경향신문사,3110038,00-06,7239.0,28397918,3013.0
43,회현역 1번,3110039,00-06,59042.0,65870415,960.0
44,중구회현체육센터(정화예술대남산캠퍼스),3110040,00-06,94858.0,11649483,231.0
45,남산케이블카,3110041,00-06,194388.0,241455618,10762.0
46,남산골공원옆,3110042,00-06,125476.0,26800000,373.0
47,충무초등학교,3110043,00-06,807624.0,323516193,43024.0
48,관성묘,3110044,00-06,111420.0,228415757,2295.0
49,동대문역사문화공원역 5번,3110045,00-06,304835.0,720097215,20205.0
50,다산성곽길,3110047,00-06,517293.0,0,0.0
51,장충동주민센터,3110048,00-06,877811.0,70442,6.0
52,장충단 고개,3110049,00-06,388355.0,374446131,30565.0
53,약수역 7번,3110050,00-06,389140.0,148539850,5394.0
54,한양공고앞 교차로,3110051,00-06,907486.0,4875827,97.0
55,장충초등학교,3110052,00-06,551094.0,483831727,7413.0
56,청구역 1번,3110053,00-06,965147.0,536711519,60440.0
57,청구역 3번,3110054,00-06,1046573.0,561299224,20456.0
58,황학동벼룩시장,3110055,00-06,566030.0,23659638,418.0
59,신당역 3번,3110056,00-06,1278019.0,364808761,16682.0
60,황학코아루아파트,3110057,00-06,832510.0,581909621,8355.0
61,성심여자고등학교,3110058,00-06,1580355.0,167668219,12470.0
62,새남터성지,3110059,00-06,779039.0,157150392,17405.0
63,효창공원앞역 6번,3110060,00-06,574327.0,189904382,20669.0
64,효창동주민센터,3110061,00-06,1364221.0,24771903,2388.0
65,한강로동땡땡거리(은행나무길),3110062,00-06,555497.0,527513955,6960.0
66,효창공원앞역 5번,3110063,00-06,842730.0,1314768343,13800.0
67,효창공원앞역 2번,3110064,00-06,1438151.0,100188905,10396.0
68,남정초등학교,3110065,00-06,31198.0,0,0.0
69,서울역 15번,3110066,00-06,1835377.0,1113625246,94187.0
70,배문고등학교,3110067,00-06,2247046.0,107478624,7597.0
71,남영역 1번,3110068,00-06,1675964.0,594881615,70542.0
72,숙대입구,3110069,00-06,2011778.0,1024903777,104526.0
73,용산세무서,3110070,00-06,34200.0,0,0.0
74,한강미주맨션아파트,3110071,00-06,58348.0,1026906967,1054.0
75,열정도,3110072,00-06,214868.0,856284027,8983.0
76,삼각지역 3번,3110073,00-06,233554.0,1834663,28.0
77,서울역 12번,3110074,00-06,587022.0,304875253,10934.0
78,숙대입구역 1번,3110075,00-06,773130.0,422955749,23966.0
79,삼각지역 14번,3110076,00-06,86371.0,2852738,31.0
80,삼광초등학교,3110077,00-06,655926.0,11309457,100.0
81,이촌동점보아파트,3110078,00-06,88803.0,82174188,4244.0
82,후암동주민센터,3110079,00-06,2711664.0,688867351,53683.0
83,해방촌예술마을,3110080,00-06,1801034.0,143468877,13629.0
84,해방촌 남동측,3110081,00-06,1824981.0,1624912053,90210.0
85,용산구청,3110082,00-06,325815.0,955266804,16084.0
86,서빙고역 1번,3110083,00-06,88289.0,0,0.0
87,경리단길북측,3110084,00-06,1131847.0,3182054708,86698.0
88,경리단길남측,3110085,00-06,1308389.0,2665227771,114174.0
89,이태원엔틱가구거리,3110087,00-06,203319.0,77393,6.0
90,오산고등학교,3110088,00-06,434192.0,282880919,31213.0
91,서빙고동주민센터,3110089,00-06,540930.0,1770492,33.0
92,한국폴리텍대학서울정수캠퍼스,3110090,00-06,691344.0,570904821,21593.0
93,리움미술관,3110091,00-06,104720.0,268330,6.0
94,NH농협은행 보광동지점,3110092,00-06,537207.0,157117543,13976.0
95,우사단길,3110093,00-06,1675944.0,626839991,10149.0
96,오산중학교,3110094,00-06,36404.0,369944514,4037.0
97,한강진역 3번,3110095,00-06,337807.0,781724925,10766.0
98,한남힐사이드아파트,3110096,00-06,139712.0,0,0.0
99,서울독일학교,3110098,00-06,57881.0,399715841,1913.0
100,유엔빌리지길,3110099,00-06,188400.0,3172558,37.0
101,옥정중학교,3110101,00-06,114849.0,0,0.0
102,옥수역 6번,3110102,00-06,249844.0,284839691,16703.0
103,옥수터널,3110103,00-06,360038.0,0,0.0
104,신금호역 4번,3110104,00-06,1345270.0,4861347,110.0
105,금동어린이공원,3110105,00-06,862267.0,78246958,1586.0
106,금북초등학교,3110106,00-06,163581.0,17802043,74.0
107,금호사거리,3110107,00-06,46708.0,483999635,4216.0
108,성동구립금호도서관,3110108,00-06,102571.0,36210400,629.0
109,금호삼성래미안아파트,3110109,00-06,340443.0,82124970,1759.0
110,상왕십리역 6번,3110110,00-06,1140434.0,11720108,1290.0
111,행당역 2번,3110112,00-06,891889.0,236196863,3443.0
112,응봉산,3110113,00-06,170991.0,1928764,14.0
113,왕십리파출소,3110114,00-06,332630.0,2600693,69.0
114,상왕십리역 3번,3110115,00-06,707106.0,225951403,17887.0
115,청계천박물관,3110116,00-06,589931.0,36054,8.0
116,성동구보건소,3110117,00-06,471860.0,259544419,4394.0
117,왕십리역 9번,3110118,00-06,1453344.0,22684093,943.0
118,서울숲카페거리,3110120,00-06,331728.0,0,0.0
119,한양대역 4번,3110121,00-06,234323.0,90548043,13044.0
120,마장역 2번,3110122,00-06,231067.0,1154406241,43328.0
121,마장역 3번,3110123,00-06,872774.0,350241806,29913.0
122,뚝섬역교차로,3110124,00-06,147661.0,384727404,41473.0
123,사근동살곶이상점가,3110125,00-06,1229778.0,321454451,47317.0
124,서울숲역 1번,3110126,00-06,138694.0,0,0.0
