,commercial_area_name,commercial_area_code,week,floating_population,total_sales,total_customers
0,이태원 관광특구,3001491,MONDAY,1107090.0,35509321731,1340223.0
1,명동 남대문 북창동 다동 무교동 관광특구,3001492,MONDAY,4452014.0,276307999078,9831998.0
2,동대문패션타운 관광특구,3001493,MONDAY,2109758.0,66309807274,2017118.0
3,종로·청계 관광특구,3001494,MONDAY,5118959.0,155404637432,3914396.0
4,잠실 관광특구,3001495,MONDAY,2268059.0,170294512346,6174815.0
5,강남 마이스 관광특구,3001496,MONDAY,60314.0,58738405528,1931804.0
6,이북5도청사,3110001,MONDAY,92187.0,230636853,6520.0
7,독립문역 1번,3110002,MONDAY,295501.0,4203081326,152533.0
8,세검정초등학교,3110003,MONDAY,209992.0,985550135,17178.0
9,대신고등학교,3110004,MONDAY,413579.0,198553280,4560.0
10,세검정,3110005,MONDAY,63666.0,591222500,3253.0
11,부암동주민센터,3110006,MONDAY,4013.0,14699619,1078.0
12,사직공원(한국사회과학도서관),3110007,MONDAY,553277.0,7178695,161.0
13,배화여자대학교(박노수미술관),3110008,MONDAY,712942.0,1623033856,95902.0
14,자하문터널,3110009,MONDAY,87852.0,200690642,7453.0
15,평창동서측,3110010,MONDAY,92036.0,1395164594,63304.0
16,성곡미술관,3110012,MONDAY,343487.0,2565520987,77746.0
17,체부동홍종문가옥,3110013,MONDAY,74159.0,9557689,786.0
18,경복고등학교,3110014,MONDAY,28652.0,194023526,6448.0
19,청와대사랑채,3110015,MONDAY,34271.0,336641237,12315.0
20,평창동동측,3110016,MONDAY,17000.0,370601477,12544.0
21,정독도서관,3110017,MONDAY,244586.0,44020613,1213.0
22,중앙고등학교,3110018,MONDAY,271113.0,540440141,16565.0
23,창덕궁,3110019,MONDAY,347175.0,897020289,19211.0
24,서울국제고등학교,3110020,MONDAY,1087465.0,1673986163,153673.0
25,성균관대학교,3110021,MONDAY,787889.0,1055786732,96243.0
26,경신고등학교,3110022,MONDAY,319952.0,974728856,12878.0
27,서울대병원,3110023,MONDAY,442290.0,783484655,94118.0
28,혜회동주민센터,3110024,MONDAY,150155.0,1216682264,34822.0
29,충신시장옆,3110025,MONDAY,237362.0,293598284,11003.0
30,종로5가역 4번,3110026,MONDAY,177675.0,8808808,172.0
31,혜화역 1번,3110027,MONDAY,182219.0,155616265,11445.0
32,이화달팽이길,3110028,MONDAY,1207427.0,2819150044,295507.0
33,동대문역 1번,3110029,MONDAY,1550801.0,1444551976,86581.0
34,동대문역 3번,3110030,MONDAY,80487.0,283610620,5726.0
35,창신역 1번,3110031,MONDAY,33708.0,42322464,1704.0
36,수족관거리,3110032,MONDAY,59980.0,39381608,872.0
37,창신역 4번,3110033,MONDAY,416332.0,411731865,10335.0
38,창신1동주민센터,3110034,MONDAY,164660.0,79695518,2185.0
39,동묘앞역 2번,3110035,MONDAY,729972.0,631193256,30322.0
40,동묘앞역 3번,3110036,MONDAY,202556.0,137618721,2611.0
41,신설동역 12번,3110037,MONDAY,498091.0,591124962,52243.0
42,경향신문사,3110038,MONDAY,17848.0,2495073557,226309.0
43,회현역 1번,3110039,MONDAY,52849.0,1240036793,21270.0
44,중구회현체육센터(정화예술대남산캠퍼스),3110040,MONDAY,96823.0,473621386,26425.0
45,남산케이블카,3110041,MONDAY,181186.0,3314761280,121432.0
46,남산골공원옆,3110042,MONDAY,163597.0,260813120,7111.0
47,충무초등학교,3110043,MONDAY,485545.0,963568224,96535.0
48,관성묘,3110044,MONDAY,109029.0,315631477,4905.0
49,동대문역사문화공원역 5번,3110045,MONDAY,247034.0,4367397026,128653.0
50,다산성곽길,3110047,MONDAY,301082.0,0,0.0
51,장충동주민센터,3110048,MONDAY,576933.0,1217737319,33002.0
52,장충단 고개,3110049,MONDAY,332828.0,1842283289,85009.0
53,약수역 7번,3110050,MONDAY,246352.0,656820238,29542.0
54,한양공고앞 교차로,3110051,MONDAY,545511.0,676384019,4876.0
55,장충초등학교,3110052,MONDAY,348922.0,6064143495,113981.0
56,청구역 1번,3110053,MONDAY,530235.0,1342960985,105027.0
57,청구역 3번,3110054,MONDAY,571447.0,3881318282,82279.0
58,황학동벼룩시장,3110055,MONDAY,273458.0,108864281,3328.0
59,신당역 3번,3110056,MONDAY,841209.0,3798748018,118634.0
60,황학코아루아파트,3110057,MONDAY,440682.0,1463547443,35030.0
61,성심여자고등학교,3110058,MONDAY,931327.0,15855093214,73031.0
62,새남터성지,3110059,MONDAY,353390.0,673402674,39809.0
63,효창공원앞역 6번,3110060,MONDAY,376138.0,2051958408,96650.0
64,효창동주민센터,3110061,MONDAY,710622.0,592077950,54519.0
65,한강로동땡땡거리(은행나무길),3110062,MONDAY,441095.0,5831994651,126687.0
66,효창공원앞역 5번,3110063,MONDAY,463483.0,2789071475,81110.0
67,효창공원앞역 2번,3110064,MONDAY,764568.0,5063435771,168031.0
68,남정초등학교,3110065,MONDAY,32903.0,32699459844,132374.0
69,서울역 15번,3110066,MONDAY,949652.0,2667540318,203849.0
70,배문고등학교,3110067,MONDAY,1083129.0,2167799679,57130.0
71,남영역 1번,3110068,MONDAY,965555.0,5240659946,266455.0
72,숙대입구,3110069,MONDAY,1349218.0,9744948855,802042.0
73,용산세무서,3110070,MONDAY,30635.0,103674738,1660.0
74,한강미주맨션아파트,3110071,MONDAY,38806.0,747615058,7951.0
75,열정도,3110072,MONDAY,155487.0,1834569874,42924.0
76,삼각지역 3번,3110073,MONDAY,141457.0,96472598,1289.0
77,서울역 12번,3110074,MONDAY,306274.0,6412946486,217904.0
78,숙대입구역 1번,3110075,MONDAY,472394.0,1700432164,130130.0
79,삼각지역 14번,3110076,MONDAY,39877.0,221483473,22698.0
80,삼광초등학교,3110077,MONDAY,313749.0,748774658,20548.0
81,이촌동점보아파트,3110078,MONDAY,57306.0,2607264389,48213.0
82,후암동주민센터,3110079,MONDAY,1195238.0,4117925775,233215.0
83,해방촌예술마을,3110080,MONDAY,918676.0,1057573698,96883.0
84,해방촌 남동측,3110081,MONDAY,913183.0,3016855679,169048.0
85,용산구청,3110082,MONDAY,189174.0,2497854593,111566.0
86,서빙고역 1번,3110083,MONDAY,51091.0,61645421,1104.0
87,경리단길북측,3110084,MONDAY,561687.0,2988270085,131547.0
88,경리단길남측,3110085,MONDAY,715120.0,3709159571,140847.0
89,이태원엔틱가구거리,3110087,MONDAY,110183.0,499173743,26174.0
90,오산고등학교,3110088,MONDAY,198491.0,979357313,67353.0
91,서빙고동주민센터,3110089,MONDAY,270470.0,961227826,11512.0
92,한국폴리텍대학서울정수캠퍼스,3110090,MONDAY,368775.0,666842448,33215.0
93,리움미술관,3110091,MONDAY,120207.0,491513885,14788.0
94,NH농협은행 보광동지점,3110092,MONDAY,279472.0,419142208,27703.0
95,우사단길,3110093,MONDAY,946552.0,4775009448,116915.0
96,오산중학교,3110094,MONDAY,29249.0,598199496,9349.0
97,한강진역 3번,3110095,MONDAY,229211.0,2657163804,56917.0
98,한남힐사이드아파트,3110096,MONDAY,132463.0,189999002,10312.0
99,서울독일학교,3110098,MONDAY,52823.0,1317419799,8676.0
100,유엔빌리지길,3110099,MONDAY,131593.0,398671825,1194.0
101,옥정중학교,3110101,MONDAY,85353.0,1837555,128.0
102,옥수역 6번,3110102,MONDAY,229708.0,1830712740,77038.0
103,옥수터널,3110103,MONDAY,189036.0,25802634,1826.0
104,신금호역 4번,3110104,MONDAY,604486.0,747403792,21693.0
105,금동어린이공원,3110105,MONDAY,451529.0,830398812,25574.0
106,금북초등학교,3110106,MONDAY,91035.0,582639725,3180.0
107,금호사거리,3110107,MONDAY,36416.0,816334867,18109.0
108,성동구립금호도서관,3110108,MONDAY,55891.0,62464887,1096.0
109,금호삼성래미안아파트,3110109,MONDAY,210272.0,1340100738,22160.0
110,상왕십리역 6번,3110110,MONDAY,573725.0,388863555,23586.0
111,행당역 2번,3110112,MONDAY,460168.0,2588502147,41012.0
112,응봉산,3110113,MONDAY,98748.0,151267599,2975.0
